"data","int_Y1","int_Y2","int_Y3","int_Y4","int_Y5","int_Y6","int_Y7","Y1_Y1","Y2_Y1","Y3_Y1","Y4_Y1","Y5_Y1","Y6_Y1","Y7_Y1","Y1_Y2","Y2_Y2","Y3_Y2","Y4_Y2","Y5_Y2","Y6_Y2","Y7_Y2","Y1_Y3","Y2_Y3","Y3_Y3","Y4_Y3","Y5_Y3","Y6_Y3","Y7_Y3","Y1_Y4","Y2_Y4","Y3_Y4","Y4_Y4","Y5_Y4","Y6_Y4","Y7_Y4","Y1_Y5","Y2_Y5","Y3_Y5","Y4_Y5","Y5_Y5","Y6_Y5","Y7_Y5","Y1_Y6","Y2_Y6","Y3_Y6","Y4_Y6","Y5_Y6","Y6_Y6","Y7_Y6","Y1_Y7","Y2_Y7","Y3_Y7","Y4_Y7","Y5_Y7","Y6_Y7","Y7_Y7","sig_Y1_Y1","sig_Y2_Y1","sig_Y3_Y1","sig_Y4_Y1","sig_Y5_Y1","sig_Y6_Y1","sig_Y7_Y1","sig_Y1_Y2","sig_Y2_Y2","sig_Y3_Y2","sig_Y4_Y2","sig_Y5_Y2","sig_Y6_Y2","sig_Y7_Y2","sig_Y1_Y3","sig_Y2_Y3","sig_Y3_Y3","sig_Y4_Y3","sig_Y5_Y3","sig_Y6_Y3","sig_Y7_Y3","sig_Y1_Y4","sig_Y2_Y4","sig_Y3_Y4","sig_Y4_Y4","sig_Y5_Y4","sig_Y6_Y4","sig_Y7_Y4","sig_Y1_Y5","sig_Y2_Y5","sig_Y3_Y5","sig_Y4_Y5","sig_Y5_Y5","sig_Y6_Y5","sig_Y7_Y5","sig_Y1_Y6","sig_Y2_Y6","sig_Y3_Y6","sig_Y4_Y6","sig_Y5_Y6","sig_Y6_Y6","sig_Y7_Y6","sig_Y1_Y7","sig_Y2_Y7","sig_Y3_Y7","sig_Y4_Y7","sig_Y5_Y7","sig_Y6_Y7","sig_Y7_Y7"
"epskamp","0.0250629230087646","-0.0288833904111047","-0.0878855783762999","0.0719232433098009","-0.0585427731268816","0.060008185283838","0.0713528289611133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.243743999580178","0","0","0","0","0","0","0","0.229329540498238","0.109938692583048","0","0","0.241286515369884","0","0","0.0795660421281901","0","0.964665341814383","-0.605421695792236","-0.441475564426484","0.561020996116634","-0.580107172818564","-0.366270848127806","-0.641698315746062","-0.605421695792236","1.01420955116985","0.311305955671499","-0.455463552596293","0.719346376386467","0.420181459166598","0.526989292786309","-0.441475564426484","0.311305955671499","0.695854385415696","-0.33843320398357","0.280262517160582","0.134084613329624","0.407338872918815","0.561020996116634","-0.455463552596293","-0.33843320398357","0.943843419835435","-0.414242499218731","-0.330589538961515","-0.520109620837583","-0.580107172818564","0.719346376386467","0.280262517160582","-0.414242499218731","0.883455042642779","0.320118166644452","0.449235659300088","-0.366270848127806","0.420181459166598","0.134084613329624","-0.330589538961515","0.320118166644452","0.817556185295134","0.499501413648419","-0.641698315746062","0.526989292786309","0.407338872918815","-0.520109620837583","0.449235659300088","0.499501413648419","0.936375836390781"
"bak2016_relapse","2.6047","2.209149","1.639116","3.175556","1.130181",NA,NA,"0.08951318","0.29872946","0.36220131","-0.15787115","0.14749443",NA,NA,"-0.23055938","0.3465515","-0.21625369","0.05234745","-0.1026581",NA,NA,"0.2978268","-0.1367041","0.2106809","0.499806","0.1986619",NA,NA,"0.06635082","-0.03469113","0.16662747","0.07528141","0.01222618",NA,NA,"-0.06652466","0.22448471","-0.20135875","-0.11408725","0.04620206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0309436","-0.4719879","1.4410971","0.7404994","0.7134376",NA,NA,"-0.47198788","1.37513898","-0.39680261","-0.05529972","0.16560106",NA,NA,"1.4410971","-0.3968026","2.9343717","0.8931465","0.4681241",NA,NA,"0.74049942","-0.05529972","0.89314648","1.97040458","0.25784346",NA,NA,"0.7134376","0.1656011","0.4681241","0.2578435","1.5283116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_relapse_plus1se","2.6047","2.209149","1.639116","3.175556","1.130181",NA,NA,"0.24662858","0.42801296","0.55105581","-0.31262715","0.28378813",NA,NA,"-0.36782108","0.4594982","-0.38124379","0.18754785","-0.2217292",NA,NA,"0.41805575","-0.23563533","0.35519748","0.61822948","0.30295752",NA,NA,"0.180412","-0.12854717","0.30373032","0.18762974","0.11117141",NA,NA,"-0.24102606","0.36807441","-0.41111135","-0.28596815","0.19757766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0309436","-0.4719879","1.4410971","0.7404994","0.7134376",NA,NA,"-0.47198788","1.37513898","-0.39680261","-0.05529972","0.16560106",NA,NA,"1.4410971","-0.3968026","2.9343717","0.8931465","0.4681241",NA,NA,"0.74049942","-0.05529972","0.89314648","1.97040458","0.25784346",NA,NA,"0.7134376","0.1656011","0.4681241","0.2578435","1.5283116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_relapse_minus1se","2.6047","2.209149","1.639116","3.175556","1.130181",NA,NA,"0","0.16944596","0.17334681","-0.00311514999999998","0.01120073",NA,NA,"-0.09329768","0.2336048","-0.05126359","0","0",NA,NA,"0.17759785","-0.03777287","0.06616432","0.38138252","0.09436628",NA,NA,"0","0","0.02952462","0","0",NA,NA,"0","0.08089501","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0309436","-0.4719879","1.4410971","0.7404994","0.7134376",NA,NA,"-0.47198788","1.37513898","-0.39680261","-0.05529972","0.16560106",NA,NA,"1.4410971","-0.3968026","2.9343717","0.8931465","0.4681241",NA,NA,"0.74049942","-0.05529972","0.89314648","1.97040458","0.25784346",NA,NA,"0.7134376","0.1656011","0.4681241","0.2578435","1.5283116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full","3.030755","3.0599007","1.5954037","2.3062241","0.7724772",NA,NA,"0.18787336","0.07034037","-0.09401958","-0.04573019","0.32784438",NA,NA,"-0.09466088","0.17178755","-0.24303723","0.08841517","0.06905052",NA,NA,"0.444199","-0.3351465","0.3484971","0.6017965","0.3980946",NA,NA,"-0.34945708","0.09114686","0.23436851","0.11153617","-0.15269345",NA,NA,"0.01713231","-0.04456589","0.13096188","-0.10839307","0.14769753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8408029","-0.5822931","0.3546145","-0.1324667","-0.1820257",NA,NA,"-0.5822931","0.9878197","-0.4677148","-0.1750608","-0.2649847",NA,NA,"0.3546145","-0.4677148","2.1931548","-0.3028246","0.454063",NA,NA,"-0.13246672","-0.17506083","-0.30282461","1.84308908","0.03489562",NA,NA,"-0.1820257","-0.2649847","0.45406298","0.03489562","2.31123798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full_plus1se","3.030755","3.0599007","1.5954037","2.3062241","0.7724772",NA,NA,"0.34036166","0.18204517","-0.25918278","-0.19998129","0.49816378",NA,NA,"-0.31845748","0.33572895","-0.49153363","0.32157917","0.32650322",NA,NA,"0.6279779","-0.4697731","0.54152","0.7828656","0.5980257",NA,NA,"-0.49154088","0.19522986","0.38338011","0.25178257","-0.30754935",NA,NA,"0.14911106","-0.14124646","0.26991731","-0.23881821","0.29170904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8408029","-0.5822931","0.3546145","-0.1324667","-0.1820257",NA,NA,"-0.5822931","0.9878197","-0.4677148","-0.1750608","-0.2649847",NA,NA,"0.3546145","-0.4677148","2.1931548","-0.3028246","0.454063",NA,NA,"-0.13246672","-0.17506083","-0.30282461","1.84308908","0.03489562",NA,NA,"-0.1820257","-0.2649847","0.45406298","0.03489562","2.31123798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full_minus1se","3.030755","3.0599007","1.5954037","2.3062241","0.7724772",NA,NA,"0.03538506","0","0","0","0.15752498",NA,NA,"0","0.00784615000000002","0","0","0",NA,NA,"0.2604201","-0.2005199","0.1554742","0.4207274","0.1981635",NA,NA,"-0.20737328","0","0.08535691","0","0",NA,NA,"0","0","0","0","0.00368601999999998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8408029","-0.5822931","0.3546145","-0.1324667","-0.1820257",NA,NA,"-0.5822931","0.9878197","-0.4677148","-0.1750608","-0.2649847",NA,NA,"0.3546145","-0.4677148","2.1931548","-0.3028246","0.454063",NA,NA,"-0.13246672","-0.17506083","-0.30282461","1.84308908","0.03489562",NA,NA,"-0.1820257","-0.2649847","0.45406298","0.03489562","2.31123798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_stable","1.8298033","2.8341405","2.1711898","4.1862781","0.6600582",NA,NA,"0.29352932","-0.03618744","0.27018456","0.08420763","0.19325018",NA,NA,"-0.16396087","0.39163342","-0.21596785","-0.15027115","-0.08521795",NA,NA,"0.160042647","-0.144333033","0.237039617","0.056606422","0.004444648",NA,NA,"-0.055128536","0.001253406","-0.107376167","0.170175697","0.054694766",NA,NA,"0.08153145","0.02120229","0.06191572","-0.02705356","0.11197789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8679824","-0.3608477","0.5418325","0.4365137","0.3071496",NA,NA,"-0.3608477","1.488511","-0.3513998","-0.3334411","-0.1629183",NA,NA,"0.5418325","-0.3513998","2.8537668","0.8841644","0.5358375",NA,NA,"0.4365137","-0.3334411","0.8841644","2.1484194","0.296776",NA,NA,"0.3071496","-0.1629183","0.5358375","0.296776","1.8400356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_stable_plus1se","1.8298033","2.8341405","2.1711898","4.1862781","0.6600582",NA,NA,"0.34521091","-0.08232191","0.33406365","0.13963306","0.24454371",NA,NA,"-0.21910303","0.44085702","-0.28412424","-0.20940783","-0.13994606",NA,NA,"0.205936787","-0.185301233","0.293765347","0.105825152","0.049994188",NA,NA,"-0.104690656","0.045495886","-0.168635557","0.223328107","0.103884736",NA,NA,"0.14235593","0.07549832","0.13709554","-0.09228419","0.17234566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8679824","-0.3608477","0.5418325","0.4365137","0.3071496",NA,NA,"-0.3608477","1.488511","-0.3513998","-0.3334411","-0.1629183",NA,NA,"0.5418325","-0.3513998","2.8537668","0.8841644","0.5358375",NA,NA,"0.4365137","-0.3334411","0.8841644","2.1484194","0.296776",NA,NA,"0.3071496","-0.1629183","0.5358375","0.296776","1.8400356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_stable_minus1se","1.8298033","2.8341405","2.1711898","4.1862781","0.6600582",NA,NA,"0.24184773","0","0.20630547","0.0287822","0.14195665",NA,NA,"-0.10881871","0.34240982","-0.14781146","-0.09113447","-0.03048984",NA,NA,"0.114148507","-0.103364833","0.180313887","0.007387692","0",NA,NA,"-0.005566416","0","-0.046116777","0.117023287","0.005504796",NA,NA,"0.02070697","0","0","0","0.05161012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8679824","-0.3608477","0.5418325","0.4365137","0.3071496",NA,NA,"-0.3608477","1.488511","-0.3513998","-0.3334411","-0.1629183",NA,NA,"0.5418325","-0.3513998","2.8537668","0.8841644","0.5358375",NA,NA,"0.4365137","-0.3334411","0.8841644","2.1484194","0.296776",NA,NA,"0.3071496","-0.1629183","0.5358375","0.296776","1.8400356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
