"name","vars","timepoint","sim_time","PAP_0.9","PAP_0.92","PAP_0.95","pow_int_V1","pow_V1_V1lag","pow_V1_V2lag","pow_V1_V3lag","pow_V1_V4lag","pow_V1_V5lag","pow_int_V2","pow_V2_V1lag","pow_V2_V2lag","pow_V2_V3lag","pow_V2_V4lag","pow_V2_V5lag","pow_int_V3","pow_V3_V1lag","pow_V3_V2lag","pow_V3_V3lag","pow_V3_V4lag","pow_V3_V5lag","pow_int_V4","pow_V4_V1lag","pow_V4_V2lag","pow_V4_V3lag","pow_V4_V4lag","pow_V4_V5lag","pow_int_V5","pow_V5_V1lag","pow_V5_V2lag","pow_V5_V3lag","pow_V5_V4lag","pow_V5_V5lag","pow_V1_V6lag","pow_V1_V7lag","pow_V2_V6lag","pow_V2_V7lag","pow_V3_V6lag","pow_V3_V7lag","pow_V4_V6lag","pow_V4_V7lag","pow_V5_V6lag","pow_V5_V7lag","pow_int_V6","pow_V6_V1lag","pow_V6_V2lag","pow_V6_V3lag","pow_V6_V4lag","pow_V6_V5lag","pow_V6_V6lag","pow_V6_V7lag","pow_int_V7","pow_V7_V1lag","pow_V7_V2lag","pow_V7_V3lag","pow_V7_V4lag","pow_V7_V5lag","pow_V7_V6lag","pow_V7_V7lag"
"bak2016_full",5,25,161.51,0,0,0,0.2784,0.057,0.0622,0.5104,0.3252,0.0476,0.4154,0.078,0.0534,0.4922,0.083,0.0586,0.1358,0.081,0.0934,0.1706,0.1286,0.0738,0.167,0.0536,0.0602,0.6998,0.0508,0.0652,0.0564,0.2514,0.0484,0.3222,0.0858,0.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,50,159.11,4e-04,2e-04,0,0.5352,0.1556,0.0716,0.876,0.6836,0.0508,0.7946,0.0984,0.1072,0.8826,0.1468,0.0726,0.2146,0.1088,0.1506,0.5014,0.2956,0.1308,0.3346,0.056,0.0628,0.9786,0.078,0.1092,0.0764,0.5022,0.0612,0.7108,0.1662,0.1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,75,156.1,0.0334,0.0048,0,0.7164,0.2798,0.08,0.9786,0.8702,0.0512,0.939,0.122,0.1698,0.9792,0.2086,0.085,0.2722,0.1264,0.206,0.7438,0.468,0.2076,0.4836,0.0554,0.0758,0.9994,0.1312,0.1722,0.0974,0.6988,0.064,0.8816,0.2364,0.1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,100,156.89,0.2406,0.0726,0.002,0.8466,0.3644,0.0902,0.9958,0.952,0.0526,0.985,0.1636,0.232,0.997,0.2702,0.1116,0.3342,0.145,0.2634,0.8806,0.6016,0.2646,0.6226,0.0668,0.0826,1,0.168,0.216,0.1094,0.8272,0.0674,0.961,0.3174,0.2554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,125,157.69,0.544,0.2404,0.0084,0.912,0.4704,0.1022,0.9992,0.9854,0.0536,0.9962,0.1998,0.2946,0.9998,0.3436,0.1206,0.4078,0.1828,0.3202,0.9584,0.7144,0.3358,0.7086,0.077,0.0946,1,0.2272,0.268,0.1228,0.904,0.0688,0.9866,0.382,0.3494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,150,156.96,0.79,0.4866,0.0464,0.9562,0.5852,0.1118,1,0.9948,0.0582,0.9994,0.2098,0.3624,0.9998,0.396,0.1346,0.4572,0.2106,0.364,0.98,0.807,0.3862,0.792,0.0748,0.106,1,0.2772,0.3274,0.1332,0.9512,0.0804,0.996,0.4384,0.4126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,175,157.75,0.9178,0.6944,0.1188,0.9814,0.6404,0.1272,0.9998,0.9992,0.0546,0.9998,0.2456,0.4292,1,0.4578,0.1536,0.5232,0.2278,0.4454,0.993,0.8672,0.4488,0.8522,0.0844,0.1102,1,0.3152,0.3658,0.1488,0.974,0.0822,0.9986,0.5134,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,200,156.01,0.9814,0.8626,0.258,0.9908,0.709,0.1458,1,0.9998,0.0524,1,0.2738,0.4752,1,0.493,0.1766,0.5722,0.2498,0.4776,0.9976,0.9026,0.5146,0.8974,0.0854,0.1148,1,0.3648,0.4302,0.17,0.9824,0.081,0.999,0.571,0.5552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,225,156.13,0.9948,0.9466,0.418,0.994,0.7608,0.1496,1,1,0.0594,1,0.3024,0.5428,1,0.5522,0.1926,0.6222,0.269,0.5302,0.999,0.939,0.5692,0.9344,0.0932,0.1168,1,0.4084,0.4688,0.1792,0.9916,0.0918,1,0.6226,0.5912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bak2016_full",5,250,155.78,0.9984,0.978,0.5498,0.9976,0.806,0.1552,1,1,0.0614,1,0.3346,0.566,1,0.5914,0.2224,0.6626,0.2922,0.5656,0.9992,0.9606,0.6114,0.9522,0.1042,0.1404,1,0.4476,0.526,0.2006,0.998,0.0928,1,0.6816,0.6622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
